,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Andrew Bergman,114.0,106.0
Color,Andrew Bujalski,43.0,85.0
Color,Andrew Davis,301.0,115.0
Color,Andrew Dominik,687.0,128.5
Color,Andrew Douglas,220.0,90.0
Color,Andrew Erwin,89.0,102.5
Color,Andrew Fleming,396.0,96.5
Color,Andrew Haigh,143.0,97.0
Color,Andrew Hyatt,12.0,95.0
Color,Andrew Jarecki,140.0,101.0
Color,Andrew Morahan,32.0,99.0
Color,Andrew Niccol,1167.0,112.8
Color,Andrew Stanton,1184.0,110.0
Color,Andrew Steggall,29.0,109.0
Color,Andrew Traucki,102.0,94.0
Color,Andrew Wilson,32.0,99.0
Color,Andrey Konchalovskiy,92.0,103.5
Color,Andrey Zvyagintsev,103.0,99.0
Color,Andrucha Waddington,42.0,115.0
Color,Andrzej Bartkowiak,626.0,105.2
Color,André Téchiné,66.0,105.0
Color,André Øvredal,337.0,103.0
Color,Andrés Couturier,3.0,89.0
Color,Andrés Muschietti,393.0,100.0
Color,Andy Cadiff,65.0,101.0
Color,Andy Fickman,675.0,102.83333333333333
Color,Andy Garcia,52.0,144.0
Color,Andy Tennant,788.0,119.5
Color,Ang Lee,1961.0,129.375
Color,Angela Robinson,167.0,96.0
Color,Angelina Jolie Pitt,563.0,128.66666666666666
Color,Angelo Pizzo,27.0,118.0
Color,Anna Boden,163.0,101.0
Color,Anna Mastro,10.0,94.0
Color,Anna Muylaert,111.0,112.0
Color,Annabel Jankel,36.0,104.0
Color,Anne Fletcher,808.0,101.0
Color,Anne Fontaine,306.0,111.5
Color,Anthony Bell,84.0,90.0
Color,Anthony C. Ferrante,139.0,97.0
Color,Anthony Hemingway,144.0,125.0
Color,Anthony Hickox,22.0,98.0
Color,Anthony Mann,30.0,172.0
Color,Anthony Minghella,517.0,151.66666666666666
Color,Anthony O'Brien,19.0,81.0
Color,Anthony Powell,31.0,91.0
Color,Anthony Russo,1300.0,119.75
Color,Anthony Silverston,39.0,85.0
Color,Anthony Vallone,0.0,84.0
Color,Antoine Fuqua,1653.0,123.875
Color,Anton Corbijn,624.0,113.5
Color,Antonia Bird,131.0,101.0
Color,Antonio Banderas,28.0,111.0
Color,Antonio Simoncini,3.0,90.0
Color,Antony Hoffman,145.0,106.0
Color,Anurag Basu,41.0,90.0
Color,Ari Folman,231.0,90.0
Color,Ari Sandel,132.0,101.0
Color,Arie Posin,74.0,108.0
Color,Ariel Vromen,351.0,109.5
Color,Arjun Sablok,5.0,97.0
Color,Arthur Hiller,29.0,86.0
Color,Asger Leth,258.0,102.0
Color,Asghar Farhadi,354.0,123.0
Color,Ash Baron-Cohen,10.0,98.0
Color,Ash Brannon,154.0,85.0
Color,Ashish R. Mohan,23.0,141.0
Color,Atom Egoyan,669.0,108.16666666666667
Color,Audrey Wells,111.0,113.0
Color,Ava DuVernay,401.0,112.5
Color,Avi Nesher,5.0,104.0
Color,Ayan Mukerji,25.0,160.0
Color,Babak Najafi,225.0,99.0
Color,Babar Ahmed,8.0,90.0
Color,Baltasar Kormákur,896.0,113.0
Color,Barbet Schroeder,176.0,108.0
Color,Barbra Streisand,73.0,128.66666666666666
