,,num_critic_for_reviews,duration
,,sum,mean
color,director_name,,
Color,Karey Kirkpatrick,93.0,107.0
Color,Kari Skogland,76.0,117.0
Color,Karim Aïnouz,70.0,106.0
Color,Karyn Kusama,478.0,100.0
Color,Kasi Lemmons,129.0,102.33333333333333
Color,Kat Coiro,18.0,100.0
Color,Kate Barker-Froyland,43.0,86.0
Color,Kate Connor,8.0,100.0
Color,Katherine Brooks,14.0,76.0
Color,Katherine Dieckmann,43.0,90.0
Color,Kathryn Bigelow,1082.0,142.0
Color,Katie Aselton,95.0,83.0
Color,Katja von Garnier,106.0,98.0
Color,Katsuhiro Ôtomo,255.0,113.5
Color,Kay Pollak,34.0,133.0
Color,Keenen Ivory Wayans,275.0,97.5
Color,Keith Gordon,66.0,109.0
Color,Keith Parmer,21.0,96.0
Color,Kelly Asbury,106.0,83.0
Color,Kelly Makin,90.0,102.0
Color,Kelly Reichardt,477.0,86.66666666666667
Color,Ken Del Conte,0.0,90.0
Color,Ken Kwapis,494.0,111.5
Color,Ken Loach,169.0,127.0
Color,Ken Roht,0.0,109.0
Color,Ken Scott,258.0,98.0
Color,Ken Shapiro,14.0,93.0
Color,Kenneth Branagh,1382.0,122.57142857142857
Color,Kenneth Johnson,36.0,97.0
Color,Kenneth Lonergan,238.0,148.5
Color,Kenny Ortega,401.0,105.6
Color,Kent Alterman,164.0,99.0
Color,Kerry Conran,197.0,106.0
Color,Kevin Allen,88.0,93.0
Color,Kevin Bray,157.0,90.5
Color,Kevin Brodie,25.0,100.0
Color,Kevin Carraway,11.0,88.0
Color,Kevin Costner,324.0,184.0
Color,Kevin Donovan,81.0,98.0
Color,Kevin Greutert,334.0,91.0
Color,Kevin Hamedani,64.0,89.0
Color,Kevin Hooks,36.0,105.0
Color,Kevin Jordan,21.0,90.0
Color,Kevin Lima,306.0,103.5
Color,Kevin Macdonald,625.0,118.0
Color,Kevin Munroe,329.0,97.0
Color,Kevin Reynolds,427.0,135.2
Color,Kevin Rodney Sullivan,133.0,114.5
Color,Kevin Smith,1800.0,105.8
Color,Kevin Spacey,37.0,97.0
Color,Kevin Tancharoen,201.0,103.5
Color,Kevin Tenney,65.0,98.0
Color,Khalil Sullins,17.0,100.0
Color,Khyentse Norbu,44.0,108.0
Color,Kief Davidson,43.0,93.0
Color,Kim Farrant,84.0,112.0
Color,Kim Nguyen,6.0,96.0
Color,Kimberly Peirce,625.0,110.0
Color,Kimble Rendall,145.0,93.0
Color,King Vidor,46.0,142.5
Color,Kinka Usher,125.0,121.0
Color,Kirk De Micco,342.0,89.5
Color,Kirk Jones,708.0,98.2
Color,Kirk Loudon,3.0,95.0
Color,Kirk Wong,57.0,91.0
Color,Kirsten Sheridan,148.0,114.0
Color,Kiyoshi Kurosawa,78.0,111.0
Color,Klaus Menzel,13.0,103.0
Color,Kris Isacsson,64.0,91.0
Color,Kristin Rizzo,6.0,90.0
Color,Kriv Stenders,54.0,92.0
Color,Kundan Shah,1.0,
Color,Kunihiko Yuyama,39.0,93.0
Color,Kurt Hale,8.0,101.5
Color,Kurt Voss,12.0,88.0
Color,Kurt Wimmer,304.0,100.5
Color,Kyle Balda,308.0,91.0
Color,Lajos Koltai,73.0,134.0
Color,Lana Wachowski,1621.0,129.0
Color,Lance Hool,10.0,121.0
Color,Lance Kawas,0.0,90.0
Color,Lance McDaniel,0.0,90.0
Color,Lance Mungia,51.0,91.0
Color,Lance Rivera,21.0,97.0
Color,Larry Charles,1192.0,95.0
Color,Larry Clark,147.0,103.0
Color,Lars von Trier,756.0,136.33333333333334
Color,Laslo Benedek,14.0,106.0
Color,Lasse Hallström,1048.0,113.0
Color,Lauren Lazin,26.0,112.0
Color,Laurence Dunmore,111.0,114.0
Color,Laurent Bouhnik,9.0,103.0
Color,Laurent Cantet,212.0,128.0
Color,Laurent Tirard,134.0,105.5
Color,Laurie Collyer,78.0,96.0
Color,Lawrence Guterman,183.0,90.5
Color,Lawrence Kasanoff,12.0,91.0
Color,Lawrence Kasdan,318.0,146.0
Color,Lee Daniels,627.0,120.5
Color,Lee Tamahori,472.0,107.75
Color,Lee Toland Krieger,407.0,102.0
Color,Lee Unkrich,453.0,103.0
Color,Leigh Whannell,242.0,97.0
Color,Len Wiseman,786.0,121.33333333333333
Color,Lena Dunham,113.0,98.0
Color,Lenny Abrahamson,421.0,118.0
Color,Leon Ford,57.0,90.0
Color,Leonard Farlinger,8.0,89.0
Color,Leonard Nimoy,237.0,108.66666666666667
Color,Leos Carax,332.0,115.0
Color,Les Mayfield,262.0,90.2
Color,Leslie H. Martinson,53.0,105.0
Color,Leslie Small,31.0,82.0
Color,Leslye Headland,156.0,87.0
Color,Levan Gabriadze,270.0,83.0
Color,Lewis Gilbert,363.0,122.0
Color,Lexi Alexander,151.0,103.0
Color,Li Zhang,63.0,121.0
Color,Lijun Sun,5.0,89.0
Color,Liliana Cavani,56.0,110.0
Color,Linda Mendoza,32.0,76.0
Color,Lionel C. Martin,11.0,93.0
Color,Lisa Azuelos,54.0,97.0
Color,Lisa Cholodenko,323.0,106.0
Color,Lisanne Pajot,50.0,103.0
Color,Liv Ullmann,88.0,129.0
Color,Livingston Oden,1.0,89.0
Color,Liz Friedlander,101.0,118.0
Color,Lloyd Kaufman,88.0,103.0
Color,Lluís Quílez,40.0,92.0
Color,Lone Scherfig,499.0,103.5
Color,Lori Petty,12.0,93.0
Color,Lori Silverbush,26.0,86.0
Color,Louis C.K.,31.0,81.0
Color,Louis Leterrier,1593.0,108.0
Color,Louis Morneau,97.0,91.0
Color,Luc Besson,848.0,113.0
Color,Luc Jacquet,169.0,80.0
Color,Luca Guadagnino,181.0,120.0
Color,Lucile Hadzihalilovic,63.0,81.0
Color,Lucky McKee,114.0,93.0
Color,Lucrecia Martel,78.0,106.0
Color,Luis Llosa,157.0,99.5
Color,Luis Mandoki,191.0,116.5
Color,Luis Valdez,18.0,108.0
Color,Lukas Moodysson,112.0,109.0
Color,Luke Dye,1.0,84.0
Color,Luke Greenfield,458.0,102.5
Color,Lynn Shelton,171.0,90.0
Color,Lynne Ramsay,464.0,104.5
Color,Léa Pool,40.0,97.0
Color,M. Night Shyamalan,2604.0,102.77777777777777
Color,Mabel Cheung,6.0,130.0
Color,Mabrouk El Mechri,119.0,93.0
Color,Maggie Carey,97.0,104.0
Color,Maggie Greenwald,39.0,109.0
Color,Majid Majidi,46.0,89.0
Color,Maksim Fadeev,5.0,85.0
Color,Malcolm D. Lee,541.0,106.14285714285714
Color,Malcolm Goodwin,0.0,96.0
Color,Mamoru Hosoda,29.0,82.0
Color,Marc Abraham,99.0,119.0
Color,Marc Bennett,2.0,
Color,Marc F. Adler,41.0,94.0
Color,Marc Forby,26.0,97.0
Color,Marc Forster,2048.0,112.375
Color,Marc Lawrence,426.0,99.66666666666667
Color,Marc Levin,16.0,100.0
Color,Marc Schölermann,79.0,95.0
Color,Marc Webb,1425.0,130.0
Color,Marcio Garcia,9.0,85.0
Color,Marco Kreuzpaintner,109.0,109.0
Color,Marco Schnabel,150.0,87.0
Color,Marcos Siega,31.0,95.0
Color,Marcus Dunstan,147.0,82.0
Color,Marcus Nispel,43.0,91.0
Color,Marcus Raboy,30.0,85.0
Color,Maria Maggenti,23.0,94.0
Color,Marianna Palka,38.0,86.0
Color,Marielle Heller,168.0,102.0
Color,Mariette Monpierre,2.0,78.0
Color,Marilyn Agrelo,84.0,105.0
Color,Mario Van Peebles,12.0,95.0
Color,Marius A. Markevicius,26.0,89.0
Color,Mark A.Z. Dippé,70.0,98.0
Color,Mark Andrews,488.0,93.0
Color,Mark Brown,54.0,90.0
Color,Mark Christopher,63.0,121.0
Color,Mark Dindal,320.0,78.0
Color,Mark Griffiths,3.0,84.0
Color,Mark Helfrich,127.0,101.0
Color,Mark Herman,249.0,95.5
Color,Mark Illsley,77.0,98.0
Color,Mark L. Lester,315.0,91.5
Color,Mark Mylod,151.0,117.0
Color,Mark Neveldine,880.0,94.2
Color,Mark Osborne,385.0,100.0
Color,Mark Pellington,321.0,118.0
Color,Mark Piznarski,44.0,96.0
Color,Mark Romanek,535.0,99.5
Color,Mark Rosman,134.0,97.5
Color,Mark Rydell,32.0,125.0
Color,Mark Steven Johnson,336.0,118.5
Color,Mark Tarlov,35.0,96.0
Color,Mark Tonderai,224.0,101.0
Color,Mark Waters,878.0,96.0
Color,Mark Young,7.0,92.0
Color,Mars Callahan,41.0,99.0
Color,Martha Coolidge,85.0,111.0
Color,Martin Brest,400.0,132.5
Color,Martin Campbell,1312.0,126.57142857142857
Color,Martin Koolhoven,111.0,103.0
Color,Martin Lawrence,11.0,108.0
Color,Martin McDonagh,701.0,108.5
Color,Martin Ritt,13.0,124.0
Color,Martin Scorsese,3867.0,144.27777777777777
Color,Martin Weisz,161.0,89.0
Color,Martyn Pick,19.0,76.0
Color,Mary Harron,288.0,102.0
Color,Mary Lambert,98.0,103.0
Color,Mary McGuckian,16.0,120.0
Color,Mary Pat Kelly,2.0,87.0
Color,Maryam Keshavarz,76.0,107.0
Color,Masayuki Ochiai,135.0,90.0
Color,Mateo Gil,92.0,102.0
Color,Mathieu Amalric,92.0,76.0
Color,Mathieu Kassovitz,371.0,99.5
Color,Matt Bettinelli-Olpin,137.0,89.0
Color,Matt Birch,5.0,
Color,Matt Cimber,15.0,108.0
Color,Matt Dillon,38.0,116.0
Color,Matt Jackson,9.0,97.0
Color,Matt Johnson,73.0,83.0
Color,Matt Maiellaro,82.0,86.0
Color,Matt Piedmont,133.0,84.0
Color,Matt Reeves,1388.0,107.25
Color,Matt Walsh,8.0,87.0
Color,Matt Williams,78.0,120.0
Color,Matthew Bright,65.0,102.0
Color,Matthew Diamond,28.0,88.0
Color,Matthew Hastings,35.0,95.0
Color,Matthew O'Callaghan,87.0,78.0
Color,Matthew R. Anderson,17.0,89.0
Color,Matthew Robbins,60.0,108.0
Color,Matthew Vaughn,1324.0,120.25
Color,Matthew Watts,3.0,86.0
Color,Matty Rich,15.0,100.5
Color,Maurice Joyce,28.0,77.0
Color,Maurizio Benazzo,15.0,85.0
Color,Max Färberböck,63.0,125.0
Color,Max Joseph,158.0,96.0
Color,Max Mayer,122.0,99.0
Color,Maïwenn,163.0,127.0
Color,McG,1253.0,112.66666666666667
Color,Meiert Avis,41.0,97.0
Color,Mel Brooks,366.0,92.4
Color,Mel Gibson,821.0,145.66666666666666
Color,Mel Smith,43.0,86.0
Color,Mel Stuart,104.0,89.0
Color,Melville Shavelson,8.0,111.0
Color,Melvin Van Peebles,38.0,97.0
Color,Mennan Yapo,184.0,96.0
Color,Menno Meyjes,118.0,106.0
Color,Mervyn LeRoy,54.0,171.0
Color,Mic Rodgers,75.0,83.0
Color,Michael Anderson,112.0,119.0
Color,Michael Apted,732.0,119.0
Color,Michael Bay,2810.0,143.36363636363637
Color,Michael Burke,17.0,94.0
Color,Michael Caton-Jones,390.0,121.75
Color,Michael Chapman,21.0,98.0
Color,Michael Cimino,242.0,254.0
Color,Michael Clancy,27.0,85.0
Color,Michael Cohn,22.0,100.0
Color,Michael Corrente,113.0,97.5
Color,Michael Cristofer,93.0,118.0
Color,Michael Cuesta,227.0,104.5
Color,Michael Curtiz,257.0,110.5
Color,Michael D. Sellers,18.0,100.0
Color,Michael Dinner,53.0,88.0
Color,Michael Dougherty,198.0,98.0
Color,Michael Dowse,194.0,93.5
Color,Michael Gornick,95.0,85.0
Color,Michael Haneke,697.0,119.0
Color,Michael Herz,145.0,93.5
Color,Michael Hoffman,352.0,113.0
Color,Michael Hoffman Jr.,64.0,104.0
Color,Michael J. Bassett,173.0,95.0
Color,Michael Jai White,23.0,90.0
Color,Michael Kang,27.0,75.0
Color,Michael Landon Jr.,23.0,102.0
Color,Michael Lehmann,310.0,99.33333333333333
Color,Michael Lembeck,156.0,106.0
Color,Michael Mann,1215.0,133.4
Color,Michael Martin,19.0,93.0
Color,Michael Mayer,130.0,96.0
Color,Michael McCullers,145.0,99.0
Color,Michael McGowan,47.0,98.0
Color,Michael Meredith,23.0,91.0
Color,Michael Moore,840.0,108.6
Color,Michael O. Sajbel,82.0,118.5
Color,Michael Patrick Jann,77.0,97.0
Color,Michael Patrick King,221.0,146.0
Color,Michael Polish,269.0,105.8
Color,Michael Pressman,68.0,88.0
Color,Michael Radford,176.0,114.0
Color,Michael Ritchie,90.0,95.0
Color,Michael Rymer,165.0,98.0
Color,Michael Schultz,79.0,100.0
Color,Michael Spierig,292.0,98.0
Color,Michael Sucsy,214.0,104.0
Color,Michael Taliferro,0.0,138.0
Color,Michael Tiddes,257.0,88.0
Color,Michael Tollin,124.0,108.5
Color,Michael Wadleigh,53.0,215.0
Color,Michael Walker,8.0,98.0
Color,Michael Winner,17.0,98.0
Color,Michael Winnick,15.0,106.0
Color,Michael Winterbottom,819.0,103.33333333333333
Color,Michel Gondry,1082.0,107.25
Color,Michel Leclerc,87.0,100.0
Color,Michel Orion Scott,29.0,93.0
Color,Mick Jackson,132.0,116.5
Color,Mickey Liddell,74.0,82.0
Color,Miguel Arteta,689.0,89.4
Color,Miguel Sapochnik,197.0,119.0
Color,Mikael Håfström,983.0,113.75
Color,Mikael Salomon,79.0,97.0
Color,Mike Barker,29.0,98.0
Color,Mike Bigelow,98.0,83.0
Color,Mike Binder,370.0,121.0
Color,Mike Bruce,3.0,78.0
Color,Mike Cahill,382.0,99.0
Color,Mike Disa,77.0,86.0
Color,Mike Figgis,154.0,108.5
Color,Mike Flanagan,461.0,95.5
Color,Mike Gabriel,92.0,84.0
Color,Mike Hodges,100.0,111.0
Color,Mike Judge,520.0,86.5
Color,Mike Leigh,863.0,135.8
Color,Mike Marvin,70.0,93.0
Color,Mike Mayhall,0.0,88.0
Color,Mike McCoy,216.0,110.0
Color,Mike Mills,375.0,100.5
Color,Mike Mitchell,535.0,92.0
Color,Mike Nawrocki,75.0,83.5
Color,Mike Newell,1114.0,131.0
Color,Mike Nichols,784.0,112.83333333333333
Color,Mike van Diem,54.0,122.0
Color,Mikel Rueda,9.0,96.0
Color,Milos Forman,423.0,143.66666666666666
Color,Mimi Leder,375.0,122.33333333333333
Color,Mira Nair,470.0,119.8
Color,Miranda July,151.0,91.0
Color,Mitch Davis,33.0,104.0
Color,Mitchell Altieri,0.0,87.0
Color,Mitchell Lichtenstein,221.0,94.0
Color,Molly Bernstein,39.0,88.0
Color,Mona Fastvold,16.0,91.0
Color,Monte Hellman,9.0,97.0
Color,Mor Loushy,23.0,84.0
Color,Mora Stephens,35.0,103.0
Color,Morgan J. Freeman,31.0,90.0
Color,Morgan Neville,149.0,91.0
Color,Morgan Spurlock,406.0,98.66666666666667
Color,Mort Nathan,63.0,97.0
Color,Morten Tyldum,738.0,107.0
Color,Myles Berkowitz,32.0,87.0
Color,Måns Mårlind,242.0,88.0
Color,Nacho Vigalondo,173.0,66.0
Color,Nadia Tass,6.0,86.0
Color,Nadine Labaki,109.0,95.0
Color,Nae Caranfil,18.0,112.0
Color,Nancy Meyers,879.0,126.8
Color,Nancy Walker,26.0,124.0
Color,Nanette Burstein,167.0,102.0
Color,Nat Faxon,276.0,103.0
Color,Natalie Bible',7.0,90.0
Color,Nate Parker,21.0,120.0
Color,Nathan Frankowski,17.0,102.0
Color,Nathan Greno,324.0,100.0
Color,Nathan Smith Jones,1.0,77.0
Color,Neal Brennan,83.0,89.0
Color,Neema Barnette,11.0,91.0
Color,Neil Burger,783.0,113.0
Color,Neil Jordan,583.0,109.0
Color,Neil LaBute,401.0,105.66666666666667
Color,Neil Marshall,791.0,103.33333333333333
Color,Neil Mcenery-West,33.0,77.0
Color,Neill Blomkamp,1319.0,113.66666666666667
Color,Neill Dela Llana,35.0,80.0
Color,Nelson McCormick,267.0,95.0
Color,Newt Arnold,61.0,92.0
Color,Niall Johnson,4.0,114.0
Color,Nicholas Fackler,27.0,90.0
Color,Nicholas Hytner,245.0,111.66666666666667
Color,Nicholas Jarecki,288.0,107.0
Color,Nicholas Meyer,260.0,113.0
Color,Nicholas Ray,15.0,154.0
Color,Nicholas Stoller,1235.0,110.4
Color,Nicholaus Goossen,61.0,90.0
Color,Nick Cassavetes,645.0,114.25
Color,Nick Gomez,84.0,96.0
Color,Nick Hamm,130.0,102.0
Color,Nick Hurran,73.0,105.0
Color,Nick Love,127.0,99.0
Color,Nick Murphy,195.0,107.0
Color,Nick Tomnay,112.0,93.0
Color,Nickolas Perry,8.0,105.0
Color,Nicolae Constantin Tanase,5.0,104.0
Color,Nicolas Winding Refn,1594.0,100.0
Color,Nicole Holofcener,564.0,89.6
Color,Niels Arden Oplev,217.0,103.0
Color,Nigel Cole,275.0,110.0
Color,Niki Caro,417.0,118.66666666666667
Color,Nils Gaup,6.0,92.0
Color,Nima Nourizadeh,229.0,93.0
Color,Nimród Antal,561.0,96.0
Color,Nnegest Likké,37.0,99.0
Color,Noah Baumbach,380.0,92.5
Color,Noah Buschel,66.0,95.0
Color,Noam Murro,366.0,102.0
Color,Noel Marshall,50.0,102.0
Color,Nora Ephron,465.0,115.66666666666667
Color,Norman Ferguson,105.0,88.0
Color,Norman Jewison,101.0,145.33333333333334
Color,Ol Parker,133.0,96.5
Color,Olatunde Osunsanmi,183.0,98.0
Color,Ole Bornedal,264.0,92.0
Color,Ole Christian Madsen,80.0,45.0
Color,Oleg Stepchenko,25.0,107.0
Color,Oliver Blackburn,114.0,99.0
Color,Oliver Hirschbiegel,424.0,138.5
Color,Oliver Parker,417.0,98.75
Color,Oliver Stone,1676.0,138.0909090909091
Color,Olivier Assayas,246.0,115.0
Color,Olivier Dahan,132.0,103.0
Color,Olivier Megaton,781.0,108.33333333333333
Color,Oren Moverman,217.0,105.0
Color,Oren Peli,465.0,87.5
Color,Ossie Davis,30.0,97.0
Color,P.J. Hogan,84.0,105.0
Color,Pan Nalin,34.0,108.5
Color,Panos Cosmatos,97.0,110.0
Color,Paolo Monico,2.0,100.0
Color,Paolo Sorrentino,280.0,172.0
Color,Pascal Arnold,14.0,95.0
Color,Pascal Chaumeil,58.0,104.0
Color,Pat Holden,44.0,86.0
Color,Pat O'Connor,94.0,119.0
Color,Patrice Leconte,61.0,112.0
Color,Patricia Cardoso,75.0,89.5
Color,Patricia Riggen,258.0,114.0
Color,Patricia Rozema,73.0,101.0
Color,Patrick Creadon,88.0,94.0
Color,Patrick Gilles,0.0,90.0
Color,Patrick Gilmore,98.0,85.0
Color,Patrick Hughes,320.0,131.0
Color,Patrick Lussier,744.0,100.75
Color,Patrick Meaney,7.0,81.0
Color,Patrick Read Johnson,38.0,99.5
Color,Patrick Ryan Sims,5.0,81.0
Color,Patrick Stettner,186.0,82.5
Color,Patrick Tatopoulos,164.0,92.0
Color,Patty Jenkins,185.0,109.0
Color,Paul Abascal,77.0,84.0
Color,Paul Andrew Williams,148.0,88.5
Color,Paul Bartel,164.0,80.0
Color,Paul Bolger,93.0,75.0
Color,Paul Crowder,40.0,97.0
Color,Paul Donovan,18.0,88.0
Color,Paul Feig,1178.0,115.0
Color,Paul Fierlinger,51.0,83.0
Color,Paul Fox,80.0,80.0
Color,Paul Greengrass,1963.0,116.14285714285714
Color,Paul Gross,34.0,108.0
Color,Paul Haggis,758.0,123.0
Color,Paul Hunter,127.0,104.0
Color,Paul King,224.0,95.0
Color,Paul Mazursky,21.0,91.0
Color,Paul McGuigan,459.0,111.33333333333333
Color,Paul Michael Glaser,120.0,101.0
Color,Paul Schrader,547.0,100.0
Color,Paul Thomas Anderson,1973.0,148.0
Color,Paul Tibbitt,147.0,92.0
Color,Paul Verhoeven,980.0,127.4
Color,Paul W.S. Anderson,2006.0,105.8
Color,Paul Weiland,128.0,101.0
Color,Paul Weitz,942.0,104.16666666666667
Color,Pawel Pawlikowski,124.0,86.0
Color,Pedro Almodóvar,232.0,121.0
Color,Penelope Spheeris,61.0,94.0
Color,Penny Marshall,200.0,130.0
Color,Perry Andelin Blake,56.0,80.0
Color,Perry Lang,19.0,76.0
Color,Pete Docter,1194.0,94.33333333333333
Color,Pete Jones,31.0,91.0
Color,Pete Travis,667.0,92.5
Color,Peter Atencio,129.0,100.0
Color,Peter Berg,1499.0,111.33333333333333
Color,Peter Billingsley,166.0,113.0
Color,Peter Care,78.0,104.0
Color,Peter Cattaneo,325.0,96.5
Color,Peter Chelsom,490.0,98.8
Color,Peter Cousens,5.0,94.0
Color,Peter DeLuise,5.0,85.0
Color,Peter Faiman,35.0,93.0
Color,Peter Farrelly,84.0,113.0
Color,Peter Flinth,34.0,270.0
Color,Peter H. Hunt,34.0,168.0
Color,Peter Hastings,43.0,88.0
Color,Peter Hedges,300.0,92.5
Color,Peter Hewitt,264.0,86.25
Color,Peter Ho-Sun Chan,106.0,113.0
Color,Peter Howitt,423.0,96.25
Color,Peter Hyams,615.0,111.0
Color,Peter Jackson,3342.0,167.88888888888889
Color,Peter Kassovitz,68.0,120.0
Color,Peter Kosminsky,103.0,109.0
Color,Peter Landesman,219.0,123.0
Color,Peter Lepeniotis,121.0,85.0
Color,Peter Lord,425.0,86.0
Color,Peter M. Cohen,48.0,82.0
Color,Peter MacDonald,84.0,87.0
Color,Peter Medak,30.0,100.0
Color,Peter R. Hunt,143.0,142.0
Color,Peter Ramsey,256.0,97.0
Color,Peter Segal,921.0,104.0
Color,Peter Sohn,298.0,93.0
Color,Peter Sollett,358.0,93.66666666666667
Color,Peter Stebbings,78.0,95.0
Color,Peter Webber,369.0,115.5
Color,Peter Weir,636.0,120.25
Color,Peter Yates,57.0,116.0
Color,Petter Næss,67.0,89.0
Color,Peyton Reed,1029.0,106.25
Color,Phil Alden Robinson,176.0,124.0
Color,Phil Claydon,107.0,88.0
Color,Phil Joanou,124.0,109.0
Color,Phil Lord,1331.0,102.75
Color,Phil Morrison,41.0,107.0
Color,Phil Traill,128.0,99.0
Color,Philip G. Atwell,119.0,103.0
Color,Philip Kaufman,212.0,158.5
Color,Philip Saville,25.0,125.0
Color,Philip Zlotorynski,14.0,80.0
Color,Phillip Noyce,889.0,110.75
Color,Phyllida Lloyd,569.0,106.5
Color,Pierre Coffin,610.0,92.5
Color,Pierre Morel,877.0,96.0
Color,Pitof,212.0,87.0
Color,Piyush Dinker Pandya,9.0,100.0
Color,Pou-Soi Cheang,14.0,119.0
Color,Prachya Pinkaew,112.0,111.0
Color,Preston A. Whitmore II,62.0,106.0
Color,Qasim Basir,8.0,94.0
Color,Quentin Dupieux,230.0,82.0
Color,Quentin Tarantino,2375.0,156.0
Color,R. Balki,12.0,133.0
Color,R.J. Cutler,141.0,107.0
Color,RZA,208.0,107.0
Color,Rachel Goldenberg,5.0,93.0
Color,Rachel Perkins,33.0,88.0
Color,Rachel Talalay,151.0,98.5
Color,Rafa Lara,12.0,125.0
Color,Raja Gosnell,729.0,96.16666666666667
Color,Raja Menon,39.0,130.0
Color,Rajkumar Hirani,15.0,144.0
Color,Rakesh Roshan,20.0,168.0
Color,Rakeysh Omprakash Mehra,33.0,157.0
Color,Ralph Fiennes,196.0,123.0
Color,Ralph Nelson,32.0,103.0
Color,Ralph Ziman,30.0,119.0
Color,Ramaa Mosley,62.0,101.0
Color,Rand Ravich,107.0,109.0
Color,Randal Kleiser,170.0,107.0
Color,Randall Miller,110.0,72.0
Color,Randall Rubin,23.0,99.0
Color,Randall Wallace,466.0,119.5
Color,Rania Attieh,18.0,93.0
Color,Rawson Marshall Thurber,466.0,112.5
Color,Ray Griggs,4.0,92.0
Color,Ray Lawrence,75.0,118.0
Color,Raymond De Felitta,149.0,104.0
Color,Rebecca Miller,75.0,112.0
Color,Reed Cowan,28.0,80.0
Color,Regardt van den Bergh,5.0,116.0
Color,Reginald Hudlin,143.0,100.0
Color,Reinhard Klooss,36.0,93.0
Color,Remo,15.0,160.0
Color,Renny Harlin,1654.0,110.8
Color,René Féret,50.0,120.0
Color,Rian Johnson,771.0,116.5
Color,Ric Roman Waugh,238.0,112.0
Color,Rich Christiano,16.0,95.0
Color,Rich Cowan,14.0,105.0
Color,Rich Moore,377.0,101.0
Color,Richard Attenborough,40.0,131.0
Color,Richard Ayoade,249.0,97.0
Color,Richard Benjamin,63.0,96.66666666666667
Color,Richard Boddington,11.0,90.0
Color,Richard Brooks,112.0,127.0
Color,Richard Curtis,687.0,129.0
Color,Richard Donner,1084.0,123.2
Color,Richard Dutcher,12.0,119.0
Color,Richard E. Grant,49.0,97.0
Color,Richard Eyre,320.0,91.5
Color,Richard Fleischer,284.0,119.75
Color,Richard Glatzer,378.0,95.5
Color,Richard J. Lewis,193.0,134.0
Color,Richard Kelly,743.0,136.0
Color,Richard Kwietniowski,132.0,98.5
Color,Richard LaGravenese,551.0,113.4
Color,Richard Lester,268.0,111.5
Color,Richard Linklater,2327.0,109.8
Color,Richard Loncraine,356.0,102.33333333333333
Color,Richard Marquand,197.0,134.0
Color,Richard Montoya,0.0,88.0
Color,Richard Raymond,31.0,104.0
Color,Richard Schenkman,72.0,88.5
Color,Richard Shepard,436.0,96.66666666666667
Color,Richard Wallace,9.0,95.0
Color,Richard Williams,10.0,80.0
Color,Rick Bieber,16.0,90.0
Color,Rick Famuyiwa,306.0,105.25
Color,Rick Friedberg,27.0,81.0
Color,Rick Rosenthal,151.0,94.0
Color,Rick de Oliveira,52.0,96.0
Color,Ricki Stern,11.0,106.0
Color,Ricky Gervais,192.0,100.0
Color,Ridley Scott,4616.0,141.8125
Color,Ringo Lam,50.0,101.0
Color,Risa Bramon Garcia,67.0,101.0
Color,Rita Merson,5.0,97.0
Color,Ritesh Batra,195.0,104.0
Color,Rob Bowman,485.0,103.25
Color,Rob Cohen,1370.0,109.55555555555556
Color,Rob Hawk,6.0,90.0
Color,Rob Hedden,129.0,100.0
Color,Rob Letterman,621.0,94.0
Color,Rob Marshall,998.0,135.33333333333334
Color,Rob McKittrick,91.0,94.0
Color,Rob Minkoff,696.0,89.0
Color,Rob Pritts,62.0,86.0
Color,Rob Reiner,1158.0,102.72727272727273
Color,Rob Schmidt,191.0,84.0
Color,Rob Zombie,715.0,109.66666666666667
Color,Robby Henson,25.0,101.0
Color,Robert Adetuyi,5.0,91.0
Color,Robert Altman,429.0,117.33333333333333
Color,Robert B. Weide,135.0,110.0
Color,Robert Ben Garant,89.0,84.0
Color,Robert Bennett,6.0,90.0
Color,Robert Butler,44.0,100.0
Color,Robert C. Cooper,18.0,97.0
Color,Robert Cary,30.0,101.0
Color,Robert Duvall,95.0,134.0
Color,Robert Eggers,425.0,92.0
Color,Robert Fontaine,4.0,125.0
Color,Robert Greenwald,77.0,47.5
Color,Robert Hall,39.0,95.0
Color,Robert Harmon,106.0,91.5
Color,Robert Heath,40.0,96.0
Color,Robert Iscove,223.0,93.0
Color,Robert Kenner,120.0,94.0
Color,Robert Lee King,51.0,85.0
Color,Robert Lorenz,239.0,111.0
Color,Robert Luketic,837.0,101.83333333333333
Color,Robert M. Young,0.0,105.0
Color,Robert Marcarelli,39.0,100.0
Color,Robert Moresco,26.0,107.0
Color,Robert Redford,709.0,126.8
Color,Robert Rodriguez,1719.0,102.92307692307692
Color,Robert Schwentke,1412.0,108.5
Color,Robert Stevenson,145.0,139.0
Color,Robert Stromberg,401.0,97.0
Color,Robert Towne,28.0,117.0
Color,Robert Townsend,21.0,81.0
Color,Robert Wise,310.0,144.0
Color,Robert Zemeckis,2547.0,120.08333333333333
Color,Robin Budd,80.0,72.0
Color,Rod Lurie,569.0,116.6
Color,Rodman Flender,59.0,92.0
Color,Rodrigo Cortés,558.0,104.5
Color,Rodrigo García,383.0,119.0
Color,Roger Allers,293.0,78.0
Color,Roger Avary,180.0,104.5
Color,Roger Christian,174.0,119.0
Color,Roger Donaldson,901.0,119.85714285714286
Color,Roger Kumble,301.0,93.0
Color,Roger Michell,529.0,107.33333333333333
Color,Roger Nygard,43.0,86.0
Color,Roger Spottiswoode,399.0,116.75
